Approved Budget of the Contract,Contract Duration,Quantity,Item Budget,Award No.,Contract Amount,Month
7669400.0,7,1,7669400.0,2748116,332750.0,4
482700.0,1,1,482700.0,2723164,482700.0,4
100000.0,10,1,100000.0,2701976,99500.0,4
16200000.0,7,1200,16200000.0,2729624,16200000.0,4
365.0,7,100,365.0,2733878,280.0,4
55000.0,7,1,55000.0,2731739,55000.0,4
149500.0,4,115,149500.0,2726954,149500.0,4
97500.0,14,500,97500.0,2726266,97500.0,4
117500.0,7,1,117500.0,2765433,117500.0,4
1412294.41,5,1,1412294.41,2712810,645800.0,4
256620.0,7,180,256620.0,2719426,256620.0,4
6000.0,7,200,6000.0,2712395,4000.0,4
1516850.0,30,16475,1516850.0,2726166,1509900.0,4
651495.8,30,89246,651495.8,2760704,651495.8,4
84000.0,7,1,84000.0,2763249,84000.0,4
25250.0,3,106,25250.0,2703434,25250.0,4
75000.0,7,7,75000.0,2745863,74480.0,4
590600.0,10,1,590600.0,2751900,474530.0,4
618935.0,7,1,618935.0,2720585,618935.0,4
327600.0,7,660,327600.0,2740588,245700.0,4
500000.0,7,1,500000.0,2707987,487000.0,4
2637750.0,60,75,2637750.0,2439046,2637750.0,4
1109850.0,30,4,1109850.0,2718134,1107350.0,4
4300000.0,7,1,4300000.0,2754507,4299950.0,4
349000.0,15,100,349000.0,2738326,150000.0,4
75145.0,7,1,75145.0,2748079,75145.0,4
465660.0,7,1,465660.0,2701550,457680.0,4
950000.0,7,1,950000.0,2733817,950000.0,4
80000.0,7,20,80000.0,2706344,29000.0,4
873460.0,7,70,873460.0,2751472,873460.0,4
300000.0,5,1,300000.0,2715623,297125.0,4
2000000.0,4,1,2000000.0,2715347,2000000.0,4
3272000.0,3,1,3272000.0,2746046,1971455.0,4
95000.0,2,1,95000.0,2747626,87850.0,4
240000.0,7,1,240000.0,2747543,239400.0,4
124000.0,30,150,124000.0,2736559,122500.0,4
1000000.0,10,50,1000000.0,2489611,999918.0,4
175000.0,3,100,175000.0,2736502,175000.0,4
1412294.12,3,1,1412294.12,2712808,156100.0,4
54200.0,1,6,54200.0,2718811,52842.5,4
138125.0,7,1,138125.0,2701799,137702.0,4
295064.0,10,40,295064.0,2731009,201071.0,4
4307300.0,7,3556,4307300.0,2756751,4307300.0,4
640540.8,7,12,640540.8,2707419,640540.8,4
89830.0,7,17,89830.0,2750952,74130.0,4
11362.76,30,2,11362.76,2761555,11362.76,4
1174290.0,2,1,1174290.0,2722880,1174290.0,4
103950.0,7,1,103950.0,2727932,103950.0,4
7880.0,14,1,7880.0,2738174,7880.0,4
95780.0,7,228,95780.0,2738017,95780.0,4
11617000.0,15,1,11617000.0,2731686,11617000.0,4
16047267.12,7,1,16047267.12,2707621,15998840.0,4
150000.0,7,1,150000.0,2751981,149697.25,4
307709.92,15,1,307709.92,2739697,307709.92,4
230000.0,7,200,230000.0,2699959,229750.0,4
3600000.0,20,10,3600000.0,2765409,3599990.0,4
900000.0,10,5,900000.0,2734431,375000.0,4
124425.0,3,830,124425.0,2728534,124425.0,4
66000.0,7,6,66000.0,2725751,66000.0,4
785115.0,7,20,785115.0,2752653,688315.0,4
27700.0,7,1,27700.0,2654393,27700.0,4
233500.0,20,320,233500.0,2724669,233500.0,4
640000.0,90,1,640000.0,2753520,638750.0,4
291000.0,7,1,291000.0,2714200,248600.0,4
60000.0,7,1,60000.0,2744359,58225.0,4
595850.0,7,1,595850.0,2720313,588850.0,4
365500.0,7,1,365500.0,2716460,364520.0,4
1890000.0,1,1,1890000.0,2748588,1890000.0,4
430480.0,7,1,430480.0,2746747,430125.0,4
1740000.0,30,696,1740000.0,2746411,1740000.0,4
399941.0,10,1,399941.0,2716874,399941.0,4
9900.0,7,1000,9900.0,2736754,7000.0,4
60750.0,7,1,60750.0,2708509,332750.0,4
500.0,10,25,500.0,2738600,500.0,4
120750.0,10,1,120750.0,2742993,120750.0,4
308000.0,15,4,308000.0,2713416,148000.0,4
1077640.0,7,31,1077640.0,2741487,1077640.0,4
166500.0,7,25,166500.0,2710733,134950.0,4
552300.0,15,1,552300.0,2710278,552300.0,4
420000.0,7,6,420000.0,2713253,420000.0,4
17000.0,14,10,17000.0,2707338,17000.0,4
535140.0,7,1,535140.0,2742103,535140.0,4
1500000.0,7,1,1500000.0,2740440,1499006.0,4
117005.5,10,1600,117005.5,2709175,110117.5,4
183500.0,10,1,183500.0,2748224,183500.0,4
648830.0,7,1,648830.0,2759646,647720.0,4
1625000.0,1,25,1625000.0,2732989,1462500.0,4
742900.0,10,1,742900.0,2727318,413950.0,4
441675.5,7,1,441675.5,2729631,440201.5,4
97500.0,5,5000,97500.0,2762510,332750.0,4
8023000.0,5,1,8023000.0,2714408,8023000.0,4
12200.0,10,1,12200.0,2718250,12065.0,4
1000000.0,15,1000,1000000.0,2747244,950000.0,4
22260000.0,15,1,22260000.0,2723105,22260000.0,4
9500.0,14,50,9500.0,2742688,9500.0,4
89994.0,4,6,89994.0,2741422,88800.0,4
84584.0,7,1,84584.0,2718433,83735.0,4
4250000.0,7,1,4250000.0,2764706,4025000.0,4
590000.0,7,1,590000.0,2747266,332750.0,4
517400.0,20,1,517400.0,2719946,515960.0,4
1670094.0,7,1,1670094.0,2720443,1599524.1,4
31680.0,14,72,31680.0,2756578,31680.0,4
269380.0,7,1,269380.0,2759546,269380.0,4
421800.0,7,1,421800.0,2726522,421800.0,4
4000.0,10,10,4000.0,2733488,3400.0,4
910694.4,2,2,910694.4,2737742,910694.4,4
900000.0,7,30,900000.0,2704285,900000.0,4
70000.0,5,200,70000.0,2732843,26000.0,4
1885000.0,30,1,1885000.0,2727441,1866150.0,4
91671.0,1,1,91671.0,2707299,89842.0,4
90000.0,5,200,90000.0,2712636,80000.0,4
33424740.0000002,0,5895,33424740.0000002,2752667,23927565.00000017,4
1096744.0,7,44,1096744.0,2747360,1064800.0,4
356000.0,1,1,356000.0,2712152,356000.0,4
624000.0,7,1,624000.0,2712474,624000.0,4
57100.0,7,1,57100.0,2705658,54950.0,4
60886.48,7,1,60886.48,2725580,52501.46,4
288000.0,30,2,288000.0,2760909,288000.0,4
722000.0,7,1,722000.0,2726444,722000.0,4
1300000.0,1,3159,1300000.0,2711687,1300000.0,4
145500.0,30,1,145500.0,2758249,144250.0,4
380000.0,7,1,380000.0,2726261,380000.0,4
926302.0,7,1,926302.0,2728081,926302.0,4
340000.0,5,1,340000.0,2730113,290000.0,4
282000.0,15,1,282000.0,2732004,281665.0,4
112000.0,7,2000,112000.0,2738869,112000.0,4
79000.0,1,1,79000.0,2740403,79000.0,4
549602.12,30,1,549602.12,2728304,543086.0,4
2600000.0,30,1,2600000.0,2712264,2600000.0,4
14400.0,7,50,14400.0,2711356,13860.0,4
108000.0,1,40,108000.0,2731008,108000.0,4
181500.0,45,13,181500.0,2706296,179400.0,4
170000.0,3,20,170000.0,2701324,165000.0,4
247520.0,7,476,247520.0,2741571,247520.0,4
4300.0,7,200,4300.0,2712388,3600.0,4
5093000.0,7,20,5093000.0,2747862,5093000.0,4
1950000.0,7,3,1950000.0,2748736,1950000.0,4
850.0,7,10,850.0,2735837,550.0,4
210000.0,10,1400,210000.0,2743616,210000.0,4
6300.0,10,3,6300.0,2733551,5700.0,4
1699085.0,30,800,1699085.0,2723733,1680125.0,4
2160000.0,7,100,2160000.0,2753486,2159900.0,4
435000.0,7,1000,435000.0,2758701,435000.0,4
350000.0,5,1,350000.0,2724888,350000.0,4
